"code" "name" "market" "control_date" "control_status" "main_cost_value"
"000429" "粤高速Ａ" "000429.sz" NA "" NA
"000430" "张家界" "000430.sz" "2016-01-14" "强烈控盘" 13.78
"000488" "晨鸣纸业" "000488.sz" "2016-01-14" "微弱控盘" 8.72
"000498" "山东路桥" "000498.sz" "2016-01-14" "中度控盘" 8.02
"000501" "" "000501.sz" NA "" NA
"000502" "绿景控股" "000502.sz" "2016-01-14" "微弱控盘" 29
"000503" "海虹控股" "000503.sz" "2016-01-14" "微弱控盘" 32.09
"000505" "" "000505.sz" NA "" NA
"000506" "中润资源" "000506.sz" "2016-01-14" "微弱控盘" 9.04
"000507" "" "000507.sz" NA "" NA
"000509" "华塑控股" "000509.sz" "2016-01-14" "微弱控盘" 7.92
"000510" "" "000510.sz" NA "" NA
"000511" "" "000511.sz" NA "" NA
"000513" "" "000513.sz" NA "" NA
"000514" "渝 开 发" "000514.sz" "2016-01-14" "微弱控盘" 9.72
"000516" "国际医学" "000516.sz" "2016-01-14" "微弱控盘" 19.93
"000517" "荣安地产" "000517.sz" "2016-01-14" "微弱控盘" 6.2
"000518" "" "000518.sz" NA "" NA
"000519" "江南红箭" "000519.sz" "2016-01-14" "轻度控盘" 16.12
"000521" "" "000521.sz" NA "" NA
"000523" "广州浪奇" "000523.sz" "2016-01-14" "微弱控盘" 15.3
"000524" "岭南控股" "000524.sz" "2016-01-14" "微弱控盘" 19.08
"000525" "红 太 阳" "000525.sz" "2016-01-14" "微弱控盘" 17.4
"000526" "银润投资" "000526.sz" "2016-01-14" "微弱控盘" 66.01
"000528" "柳    工" "000528.sz" "2016-01-14" "微弱控盘" 8.9
"000529" "" "000529.sz" NA "" NA
"000530" "" "000530.sz" NA "" NA
"000531" "穗恒运Ａ" "000531.sz" "2016-01-14" "微弱控盘" 10.87
"000532" "" "000532.sz" NA "" NA
"000533" "万 家 乐" "000533.sz" "2016-01-14" "轻度控盘" 8.88
"000534" "万泽股份" "000534.sz" NA "" NA
"000536" "华映科技" "000536.sz" "2016-01-14" "微弱控盘" 14.5
"000537" "" "000537.sz" NA "" NA
"000538" "" "000538.sz" NA "" NA
"000539" "粤电力Ａ" "000539.sz" "2016-01-14" "微弱控盘" 8.09
"000540" "中天城投" "000540.sz" "2016-01-14" "微弱控盘" 10.56
"000541" "佛山照明" "000541.sz" "2016-01-14" "微弱控盘" 13.65
"000543" "皖能电力" "000543.sz" "2016-01-14" "微弱控盘" 8.96
"000544" "中原环保" "000544.sz" "2016-01-14" "微弱控盘" 18.65
"000545" "" "000545.sz" NA "" NA
"000546" "" "000546.sz" NA "" NA
"000547" "航天发展" "000547.sz" "2016-01-14" "微弱控盘" 19.6
"000548" "湖南投资" "000548.sz" "2016-01-14" "微弱控盘" 10.25
"000550" "江铃汽车" "000550.sz" "2016-01-14" "微弱控盘" 31.76
"000551" "" "000551.sz" NA "" NA
"000552" "靖远煤电" "000552.sz" "2016-01-14" "微弱控盘" 9.21
"000553" "沙隆达Ａ" "000553.sz" NA "" NA
"000554" "" "000554.sz" NA "" NA
"000555" "神州信息" "000555.sz" "2016-01-14" "微弱控盘" 38.27
"000558" "莱茵体育" "000558.sz" "2016-01-14" "微弱控盘" 23.84
"000559" "" "000559.sz" NA "" NA
"000560" "昆百大Ａ" "000560.sz" "2016-01-14" "微弱控盘" 11.71
"000561" "烽火电子" "000561.sz" "2016-01-14" "轻度控盘" 12.21
"000562" "宏源证券" "000562.sz" NA "" NA
"000563" "陕国投Ａ" "000563.sz" "2016-01-14" "中度控盘" 13.04
"000564" "" "000564.sz" NA "" NA
"000565" "" "000565.sz" NA "" NA
"000566" "海南海药" "000566.sz" "2016-01-14" "微弱控盘" 38.06
"000567" "海德股份" "000567.sz" "2016-01-14" "轻度控盘" 30.06
"000568" "泸州老窖" "000568.sz" "2016-01-14" "微弱控盘" 24.76
"000570" "" "000570.sz" NA "" NA
"000571" "新大洲Ａ" "000571.sz" "2016-01-14" "微弱控盘" 7.55
"000572" "海马汽车" "000572.sz" "2016-01-14" "微弱控盘" 6.46
"000573" "粤宏远Ａ" "000573.sz" "2016-01-14" "中度控盘" 7.74
"000576" "广东甘化" "000576.sz" "2016-01-14" "微弱控盘" 17.5
"000581" "威孚高科" "000581.sz" "2016-01-14" "微弱控盘" 24.88
"000582" "" "000582.sz" NA "" NA
"000584" "友利控股" "000584.sz" "2016-01-14" "微弱控盘" 13
"000585" "" "000585.sz" NA "" NA
"000586" "汇源通信" "000586.sz" "2016-01-14" "高度控盘" 17
"000587" "金叶珠宝" "000587.sz" "2016-01-14" "微弱控盘" 20.71
"000589" "黔轮胎Ａ" "000589.sz" "2016-01-14" "微弱控盘" 6.97
"000590" "" "000590.sz" NA "" NA
"000591" "桐 君 阁" "000591.sz" "2016-01-14" "微弱控盘" 19.96
"000592" "" "000592.sz" NA "" NA
"000593" "大通燃气" "000593.sz" "2016-01-14" "微弱控盘" 12.47
"000595" "宝塔实业" "000595.sz" "2016-01-14" "微弱控盘" 11.96
"000596" "古井贡酒" "000596.sz" "2016-01-14" "微弱控盘" 34.66
"000597" "东北制药" "000597.sz" "2016-01-14" "中度控盘" 9.69
"000598" "" "000598.sz" NA "" NA
"000599" "" "000599.sz" NA "" NA
"000600" "" "000600.sz" NA "" NA
"000601" "韶能股份" "000601.sz" "2016-01-14" "微弱控盘" 11.08
"000603" "盛达矿业" "000603.sz" "2016-01-14" "轻度控盘" 17.93
"000605" "渤海股份" "000605.sz" "2016-01-14" "中度控盘" 28.04
"000606" "青海明胶" "000606.sz" "2016-01-14" "轻度控盘" 13.74
"000607" "华媒控股" "000607.sz" "2016-01-14" "微弱控盘" 12.6
"000608" "阳光股份" "000608.sz" "2016-01-14" "微弱控盘" 5.53
"000609" "绵世股份" "000609.sz" "2016-01-14" "微弱控盘" 14.52
"000610" "" "000610.sz" NA "" NA
"000611" "*ST蒙发" "000611.sz" "2016-01-14" "微弱控盘" 10.24
"000612" "焦作万方" "000612.sz" "2016-01-14" "微弱控盘" 7.32
"000613" "大东海A" "000613.sz" "2016-01-14" "微弱控盘" 14.96
"000615" "" "000615.sz" NA "" NA
"000616" "" "000616.sz" NA "" NA
"000617" "" "000617.sz" NA "" NA
"000619" "海螺型材" "000619.sz" "2016-01-14" "微弱控盘" 13.23
"000620" "新华联" "000620.sz" "2016-01-14" "微弱控盘" 11.23
"000622" "恒立实业" "000622.sz" "2016-01-14" "微弱控盘" 15.88
"000623" "吉林敖东" "000623.sz" "2016-01-14" "微弱控盘" 29.86
"000625" "长安汽车" "000625.sz" "2016-01-14" "微弱控盘" 16.42
"000626" "如意集团" "000626.sz" NA "" NA
"000627" "" "000627.sz" NA "" NA
"000628" "" "000628.sz" NA "" NA
"000629" "" "000629.sz" NA "" NA
"000630" "铜陵有色" "000630.sz" "2016-01-14" "微弱控盘" 3.7
"000631" "顺发恒业" "000631.sz" "2016-01-14" "微弱控盘" 8.92
"000632" "" "000632.sz" NA "" NA
"000633" "合金投资" "000633.sz" "2016-01-14" "微弱控盘" 15.24
"000635" "英 力 特" "000635.sz" "2016-01-14" "微弱控盘" 12.68
"000636" "风华高科" "000636.sz" "2016-01-14" "微弱控盘" 10.56
"000637" "茂化实华" "000637.sz" "2016-01-14" "微弱控盘" 7.86
"000638" "万方发展" "000638.sz" NA "" NA
"000639" "" "000639.sz" NA "" NA
"000650" "仁和药业" "000650.sz" "2016-01-14" "微弱控盘" 10.42
"000651" "格力电器" "000651.sz" "2016-01-14" "轻度控盘" 21.12
"000652" "泰达股份" "000652.sz" "2016-01-14" "微弱控盘" 6.99
"000655" "金岭矿业" "000655.sz" "2016-01-14" "微弱控盘" 9.15
"000656" "金科股份" "000656.sz" "2016-01-14" "微弱控盘" 5.66
"000657" "中钨高新" "000657.sz" NA "" NA
"000661" "长春高新" "000661.sz" "2016-01-14" "微弱控盘" 119.36
"000662" "索芙特" "000662.sz" "2016-01-14" "微弱控盘" 21.2
"000663" "" "000663.sz" NA "" NA
"000665" "湖北广电" "000665.sz" "2016-01-14" "微弱控盘" 19.1
"000666" "经纬纺机" "000666.sz" "2016-01-14" "微弱控盘" 25.49
"000667" "" "000667.sz" NA "" NA
"000668" "荣丰控股" "000668.sz" "2016-01-14" "微弱控盘" 25.47
"000669" "金鸿能源" "000669.sz" "2016-01-14" "微弱控盘" 22.54
"000670" "" "000670.sz" NA "" NA
"000671" "阳 光 城" "000671.sz" "2016-01-14" "微弱控盘" 7.7
"000672" "上峰水泥" "000672.sz" "2016-01-14" "微弱控盘" 8.35
"000673" "" "000673.sz" NA "" NA
"000677" "" "000677.sz" NA "" NA
"000678" "襄阳轴承" "000678.sz" "2016-01-14" "微弱控盘" 10.47
"000679" "大连友谊" "000679.sz" "2016-01-14" "轻度控盘" 17.83
"000680" "" "000680.sz" NA "" NA
"000681" "" "000681.sz" NA "" NA
"000682" "" "000682.sz" NA "" NA
"000683" "远兴能源" "000683.sz" "2016-01-14" "微弱控盘" 5.53
"000685" "中山公用" "000685.sz" "2016-01-14" "微弱控盘" 14.67
"000686" "" "000686.sz" NA "" NA
"000687" "华讯方舟" "000687.sz" "2016-01-14" "微弱控盘" 24.85
"000688" "" "000688.sz" NA "" NA
"000690" "宝新能源" "000690.sz" "2016-01-14" "微弱控盘" 10.05
"000691" "亚太实业" "000691.sz" "2016-01-14" "微弱控盘" 10.15
"000692" "惠天热电" "000692.sz" "2016-01-14" "微弱控盘" 6.95
