code,name,market,主力控盘日期,控盘程度,main_cost_value
000611,,000611.sz,NA,,NA
000612,,000612.sz,NA,,NA
000613,,000613.sz,NA,,NA
000615,,000615.sz,NA,,NA
000616,,000616.sz,NA,,NA
000617,,000617.sz,NA,,NA
000619,,000619.sz,NA,,NA
000620,,000620.sz,NA,,NA
000622,,000622.sz,NA,,NA
000623,,000623.sz,NA,,NA
000625,,000625.sz,NA,,NA
000626,,000626.sz,NA,,NA
000627,,000627.sz,NA,,NA
000628,,000628.sz,NA,,NA
000629,,000629.sz,NA,,NA
000630,,000630.sz,NA,,NA
000631,,000631.sz,NA,,NA
000632,,000632.sz,NA,,NA
000633,,000633.sz,NA,,NA
000635,,000635.sz,NA,,NA
000636,,000636.sz,NA,,NA
000637,,000637.sz,NA,,NA
000638,,000638.sz,NA,,NA
000639,,000639.sz,NA,,NA
000650,,000650.sz,NA,,NA
000651,,000651.sz,NA,,NA
000652,,000652.sz,NA,,NA
000655,,000655.sz,NA,,NA
000656,,000656.sz,NA,,NA
000657,,000657.sz,NA,,NA
000661,,000661.sz,NA,,NA
000662,,000662.sz,NA,,NA
000663,,000663.sz,NA,,NA
000665,,000665.sz,NA,,NA
000666,,000666.sz,NA,,NA
000667,,000667.sz,NA,,NA
000668,,000668.sz,NA,,NA
000669,,000669.sz,NA,,NA
000670,,000670.sz,NA,,NA
000671,,000671.sz,NA,,NA
000672,,000672.sz,NA,,NA
000673,,000673.sz,NA,,NA
000677,,000677.sz,NA,,NA
000678,,000678.sz,NA,,NA
000679,,000679.sz,NA,,NA
000680,,000680.sz,NA,,NA
000681,,000681.sz,NA,,NA
000682,,000682.sz,NA,,NA
000683,,000683.sz,NA,,NA
000685,,000685.sz,NA,,NA
000686,,000686.sz,NA,,NA
000687,,000687.sz,NA,,NA
000688,,000688.sz,NA,,NA
000690,,000690.sz,NA,,NA
000691,,000691.sz,NA,,NA
000692,,000692.sz,NA,,NA
000693,,000693.sz,NA,,NA
000695,,000695.sz,NA,,NA
000697,,000697.sz,NA,,NA
000698,,000698.sz,NA,,NA
000700,,000700.sz,NA,,NA
000701,,000701.sz,NA,,NA
000702,,000702.sz,NA,,NA
000703,,000703.sz,NA,,NA
000705,,000705.sz,NA,,NA
000707,,000707.sz,NA,,NA
000708,,000708.sz,NA,,NA
000709,,000709.sz,NA,,NA
000710,,000710.sz,NA,,NA
000711,,000711.sz,NA,,NA
000712,,000712.sz,NA,,NA
000713,,000713.sz,NA,,NA
000715,,000715.sz,NA,,NA
000716,,000716.sz,NA,,NA
000717,,000717.sz,NA,,NA
000718,,000718.sz,NA,,NA
000720,,000720.sz,NA,,NA
000721,,000721.sz,NA,,NA
000722,,000722.sz,NA,,NA
000723,,000723.sz,NA,,NA
000725,,000725.sz,NA,,NA
000726,,000726.sz,NA,,NA
000727,,000727.sz,NA,,NA
000728,,000728.sz,NA,,NA
000729,,000729.sz,NA,,NA
000731,,000731.sz,NA,,NA
000732,,000732.sz,NA,,NA
000733,,000733.sz,NA,,NA
000735,,000735.sz,NA,,NA
