code,name,market,main_cost_year,main_cost_month_day,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type
000001,平安银行,000001.sz,2015,402,13.69,15.80,15.70,1434941,226284,15.94,15.61,15.85,2
000002,万科Ａ,000002.sz,2015,402,12.53,13.59,13.41,3565632,475298,13.48,13.19,13.45,2
000004,国农科技,000004.sz,2015,402,21.01,25.84,25.59,35270,9023,26.50,25.10,25.86,2
000005,世纪星源,000005.sz,2014,1226,4.21,0,0,0,0,0,0,0,0
000006,深振业Ａ,000006.sz,2015,402,7.56,8.79,8.71,804422,71152,9.06,8.64,9.03,2
000007,零七股份,000007.sz,2015,402,16.24,19.90,19.84,128498,26305,21.01,19.50,20.98,2
000008,宝利来,000008.sz,2015,311,19.7,0,0,0,0,0,0,0,0
000009,中国宝安,000009.sz,2015,402,15.38,17.59,17.47,813728,145585,18.37,17.38,18.18,2
000010,深华新,000010.sz,2014,1225,7.78,0,0,0,0,0,0,0,0
000011,深物业A,000011.sz,2015,402,11.12,11.94,11.80,169199,20133,12.10,11.71,12.06,2
000012,南玻Ａ,000012.sz,2015,318,9.85,0,0,0,0,0,0,0,0
000014,沙河股份,000014.sz,2015,402,16.45,22.31,22.30,67559,15469,23.35,21.81,23.27,2
000016,深康佳Ａ,000016.sz,2015,402,9.08,11.14,11.11,410111,47268,12.00,10.81,11.67,2
000017,深中华A,000017.sz,2015,402,9,10.63,10.46,201798,21704,11.53,10.35,11.11,2
000018,中冠A,000018.sz,2015,402,24.15,27.01,26.90,47049,12749,27.71,26.52,27.50,2
000019,深深宝Ａ,000019.sz,2015,402,9.1,11.66,11.67,78016,9082,11.84,11.46,11.80,2
000020,深华发Ａ,000020.sz,2015,402,12.65,14.63,14.30,121176,17759,15.14,14.26,14.82,2
000021,深科技,000021.sz,2015,402,9.49,11.89,11.82,543108,65817,12.30,11.77,12.13,2
000022,深赤湾Ａ,000022.sz,2015,402,19.53,23.23,23.40,75341,17705,23.78,23.22,23.50,2
000023,深天地Ａ,000023.sz,2015,402,20.67,26.70,27.10,33106,8914,27.33,26.33,27.10,2
000024,招商地产,000024.sz,2015,402,28.74,0,0,0,0,0,0,0,0
000025,特力Ａ,000025.sz,2015,402,14.59,21.19,21.17,41665,8558,21.17,20.32,20.48,2
000026,飞亚达Ａ,000026.sz,2015,402,12.13,16.01,15.97,90811,14501,16.30,15.58,15.90,2
000027,深圳能源,000027.sz,2015,402,11.56,13.75,13.70,664255,94343,15.00,13.52,14.71,2
000028,国药一致,000028.sz,2015,402,48.98,63.38,63.35,25231,16073,65.19,62.50,63.86,2
000029,深深房Ａ,000029.sz,2015,402,7.25,11.22,11.05,293074,32249,11.17,10.89,11.02,2
000030,富奥股份,000030.sz,2015,402,9.51,11.35,11.33,236775,26561,11.35,11.10,11.25,2
000031,中粮地产,000031.sz,2015,402,9.12,10.03,9.95,539085,54053,10.15,9.90,10.13,2
000032,深桑达Ａ,000032.sz,2015,402,13.07,16.25,16.20,93781,15658,17.40,16.02,17.10,2
000034,深信泰丰,000034.sz,2015,320,7.84,0,0,0,0,0,0,0,0
000035,中国天楹,000035.sz,2015,402,16.02,19.15,19.00,168691,31690,19.25,18.41,18.81,2
000036,华联控股,000036.sz,2015,402,4.71,5.52,5.48,592450,33442,5.75,5.42,5.69,2
