code,name,market,主力控盘日期,控盘程度,main_cost_value
000001,平安银行,000001.sz,2015-04-13,强烈控盘,11.98
000002,万  科Ａ,000002.sz,2015-04-13,高度控盘,12.91
000004,国农科技,000004.sz,2015-04-13,强烈控盘,22.05
000005,世纪星源,000005.sz,2014-12-26,微弱控盘,4.21
000006,深振业Ａ,000006.sz,2015-04-13,强烈控盘,8.58
000007,零七股份,000007.sz,2015-04-13,强烈控盘,17.59
000008,神州高铁,000008.sz,2015-03-11,强烈控盘,19.7
000009,中国宝安,000009.sz,2015-04-13,强烈控盘,16.17
000010,深华新,000010.sz,2014-12-25,微弱控盘,7.78
000011,深物业A,000011.sz,2015-04-13,强烈控盘,13.7
000012,南  玻Ａ,000012.sz,2015-03-18,强烈控盘,9.85
000014,沙河股份,000014.sz,2015-04-13,强烈控盘,18.09
000016,深康佳Ａ,000016.sz,2015-04-13,强烈控盘,9.99
000017,深中华A,000017.sz,2015-04-13,强烈控盘,9.82
000018,中冠A,000018.sz,2015-04-13,强烈控盘,25.13
000019,深深宝Ａ,000019.sz,2015-04-13,强烈控盘,9.67
000020,深华发Ａ,000020.sz,2015-04-13,强烈控盘,13.77
000021,深科技,000021.sz,2015-04-13,强烈控盘,9.91
000022,深赤湾Ａ,000022.sz,2015-04-13,强烈控盘,20.24
000023,深天地Ａ,000023.sz,2015-04-13,强烈控盘,21.7
000024,招商地产,000024.sz,2015-04-02,高度控盘,28.3
000025,特  力Ａ,000025.sz,2015-04-13,强烈控盘,15.82
000026,飞亚达Ａ,000026.sz,2015-04-08,强烈控盘,12.36
000027,深圳能源,000027.sz,2015-04-13,强烈控盘,12.44
000028,国药一致,000028.sz,2015-04-13,强烈控盘,51.59
000029,深深房Ａ,000029.sz,2015-04-13,强烈控盘,8.47
000030,富奥股份,000030.sz,2015-04-13,强烈控盘,9.94
000031,中粮地产,000031.sz,2015-04-13,强烈控盘,9.8
000032,深桑达Ａ,000032.sz,2015-04-13,强烈控盘,14.15
000034,深信泰丰,000034.sz,2015-03-20,强烈控盘,7.84
000035,中国天楹,000035.sz,2015-04-13,强烈控盘,17.05
000036,华联控股,000036.sz,2015-04-10,强烈控盘,5.3
000037,深南电Ａ,000037.sz,2015-04-13,强烈控盘,9.99
000038,深大通,000038.sz,2015-03-23,强烈控盘,22.81
000039,中集集团,000039.sz,2015-04-13,强烈控盘,21.87
000040,宝安地产,000040.sz,2015-04-13,强烈控盘,7.7
000042,中洲控股,000042.sz,2015-04-13,强烈控盘,16.94
000043,中航地产,000043.sz,2015-04-13,强烈控盘,11.1
000045,深纺织Ａ,000045.sz,2015-04-13,强烈控盘,11.3
000046,泛海控股,000046.sz,2015-04-13,强烈控盘,10.33
000048,康达尔,000048.sz,2015-04-13,强烈控盘,12.67
000049,德赛电池,000049.sz,2015-04-13,强烈控盘,40.34
000050,深天马Ａ,000050.sz,2015-04-13,强烈控盘,24.6
000055,方大集团,000055.sz,2015-04-13,强烈控盘,10.68
000056,深国商,000056.sz,2015-04-13,强烈控盘,19.03
000058,深 赛 格,000058.sz,2015-04-13,强烈控盘,9.81
000059,华锦股份,000059.sz,2015-04-13,中度控盘,9.84
000060,中金岭南,000060.sz,2015-04-13,强烈控盘,12.11
000061,农 产 品,000061.sz,2015-04-13,强烈控盘,13.34
000062,深圳华强,000062.sz,2015-03-12,强烈控盘,21.08
000063,中兴通讯,000063.sz,2015-04-13,强烈控盘,20.84
000065,北方国际,000065.sz,2015-04-13,强烈控盘,21.01
000066,长城电脑,000066.sz,2015-04-13,强烈控盘,12.59
000068,*ST华赛,000068.sz,2015-01-26,轻度控盘,8.94
000069,华侨城Ａ,000069.sz,2015-04-13,强烈控盘,9.09
000070,特发信息,000070.sz,2015-04-13,强烈控盘,10.36
000078,海王生物,000078.sz,2015-04-13,强烈控盘,16.28
000088,盐 田 港,000088.sz,2015-04-13,强烈控盘,10.24
000089,深圳机场,000089.sz,2015-04-13,强烈控盘,6.57
000090,天健集团,000090.sz,2015-04-13,强烈控盘,16.64
000096,广聚能源,000096.sz,2015-04-13,强烈控盘,8.95
000099,中信海直,000099.sz,2015-04-13,强烈控盘,15.62
000100,TCL 集团,000100.sz,2015-04-13,强烈控盘,5.54
000150,宜华健康,000150.sz,2015-04-13,强烈控盘,29.37
000151,中成股份,000151.sz,2015-04-13,强烈控盘,22.54
000153,丰原药业,000153.sz,2015-04-13,强烈控盘,13.72
000155,ST川化,000155.sz,2015-04-13,强烈控盘,9.52
