code,name,market,主力控盘日期,控盘程度,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type,ratio
000001,平安银行,000001.sz,2015-04-10,强烈控盘,14.25,16.36,17.00,3855862,644822,17.16,16.15,16.28,2,0.161
000002,万  科Ａ,000002.sz,2015-04-10,中度控盘,12.85,14.32,14.42,2548642,366642,14.62,14.22,14.30,2,0.114
000004,国农科技,000004.sz,2015-04-10,强烈控盘,21.78,24.94,25.19,41439,10844,27.00,24.95,26.55,2,0.235
000005,世纪星源,000005.sz,2014-12-26,微弱控盘,4.21,0,0,0,0,0,0,0,0,-1
000006,深振业Ａ,000006.sz,2015-04-10,强烈控盘,8.42,11.10,11.10,570822,63071,11.36,10.75,10.96,2,0.327
000007,零七股份,000007.sz,2015-04-10,强烈控盘,17.38,21.82,21.74,58370,12795,22.22,21.68,21.68,2,0.263
000008,神州高铁,000008.sz,2015-03-11,强烈控盘,19.7,0,0,0,0,0,0,0,0,-1
000009,中国宝安,000009.sz,2015-04-10,强烈控盘,16.05,18.78,19.10,420555,79917,19.29,18.61,18.89,2,0.182
000010,深华新,000010.sz,2014-12-25,微弱控盘,7.78,0,0,0,0,0,0,0,0,-1
000011,深物业A,000011.sz,2015-04-10,强烈控盘,12.91,15.73,16.19,296970,48588,17.20,15.80,16.47,2,0.296
000012,南  玻Ａ,000012.sz,2015-03-18,强烈控盘,9.85,0,0,0,0,0,0,0,0,-1
000014,沙河股份,000014.sz,2015-04-10,强烈控盘,17.87,24.55,24.55,43432,10597,25.06,24.00,24.80,2,0.353
000016,深康佳Ａ,000016.sz,2015-04-10,强烈控盘,9.74,12.63,12.63,319783,42068,13.89,12.34,13.89,2,0.388
000017,深中华A,000017.sz,2015-04-10,强烈控盘,9.65,12.46,12.46,139628,18562,13.71,12.22,13.71,2,0.421
000018,中冠A,000018.sz,2015-04-10,强烈控盘,24.74,27.58,27.89,42082,11936,28.85,27.62,28.50,2,0.156
000019,深深宝Ａ,000019.sz,2015-04-10,强烈控盘,9.57,12.42,12.48,63662,8033,13.01,12.30,12.66,2,0.331
000020,深华发Ａ,000020.sz,2015-04-10,强烈控盘,13.66,14.58,14.70,46564,6778,14.80,14.30,14.61,2,0.066
000021,深科技,000021.sz,2015-04-10,强烈控盘,9.85,11.57,11.53,373974,43839,12.09,11.38,11.86,2,0.216
000022,深赤湾Ａ,000022.sz,2015-04-10,强烈控盘,20.14,25.40,25.49,68370,17191,25.68,24.79,25.08,2,0.252
000023,深天地Ａ,000023.sz,2015-04-10,强烈控盘,21.39,27.16,27.44,50120,13962,28.50,27.30,28.28,2,0.305
000024,招商地产,000024.sz,2015-04-02,高度控盘,28.3,0,0,0,0,0,0,0,0,-1
000025,特  力Ａ,000025.sz,2015-04-10,强烈控盘,15.45,20.19,20.19,54729,11194,20.99,20.10,20.80,2,0.335
000026,飞亚达Ａ,000026.sz,2015-04-08,强烈控盘,12.36,0,0,0,0,0,0,0,0,-1
000027,深圳能源,000027.sz,2015-04-10,强烈控盘,12.32,15.03,15.03,279343,41899,15.19,14.85,14.99,2,0.218
000028,国药一致,000028.sz,2015-04-10,强烈控盘,50.64,78.63,79.44,51405,42555,86.49,79.18,84.86,2,0.641
000029,深深房Ａ,000029.sz,2015-04-10,强烈控盘,8.32,12.46,12.44,262309,31770,12.45,11.85,12.16,2,0.476
000030,富奥股份,000030.sz,2015-04-10,强烈控盘,9.83,11.09,11.48,281813,32677,11.90,11.31,11.51,2,0.178
000031,中粮地产,000031.sz,2015-04-10,高度控盘,9.64,11.92,11.75,1148815,131450,11.75,11.25,11.42,2,0.188
000032,深桑达Ａ,000032.sz,2015-04-10,强烈控盘,13.77,18.92,19.03,114681,22506,20.38,19.00,19.68,2,0.436
000034,深信泰丰,000034.sz,2015-03-20,强烈控盘,7.84,0,0,0,0,0,0,0,0,-1
000035,中国天楹,000035.sz,2015-04-10,强烈控盘,16.86,18.78,18.70,108105,21159,19.88,18.63,19.47,2,0.174
000036,华联控股,000036.sz,2015-04-10,强烈控盘,5.05,0,0,0,0,0,0,0,0,-1
000037,深南电Ａ,000037.sz,2015-04-10,强烈控盘,9.72,13.13,13.14,200595,26419,13.66,12.67,13.10,2,0.368
000038,深大通,000038.sz,2015-03-23,强烈控盘,22.81,0,0,0,0,0,0,0,0,-1
000039,中集集团,000039.sz,2015-04-10,强烈控盘,21.65,26.93,26.87,387682,103561,27.38,26.25,26.99,2,0.235
000040,宝安地产,000040.sz,2015-04-10,强烈控盘,7.61,10.15,10.14,114944,11762,10.45,10.00,10.11,2,0.339
000042,中洲控股,000042.sz,2015-04-10,强烈控盘,16.66,25.44,25.43,109332,27245,25.69,24.60,24.72,2,0.492
000043,中航地产,000043.sz,2015-04-10,强烈控盘,10.99,12.90,12.92,185668,24030,13.12,12.80,12.99,2,0.177
