code,name,market,主力控盘日期,控盘程度,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type,ratio
000045,深纺织Ａ,000045.sz,2015-04-10,强烈控盘,11.21,13.98,14.09,89060,12529,14.49,13.80,13.95,2,0.265
000046,泛海控股,000046.sz,2015-04-10,强烈控盘,10.21,17.19,17.34,477214,81156,17.47,16.80,17.12,2,0.654
000048,康达尔,000048.sz,2015-04-10,强烈控盘,12.6,15.36,15.22,90375,13634,15.70,14.00,15.49,2,0.23
000049,德赛电池,000049.sz,2015-04-10,强烈控盘,40.19,42.07,42.30,80963,34578,43.80,41.75,43.23,2,0.067
000050,深天马Ａ,000050.sz,2015-04-10,强烈控盘,24.52,26.10,26.01,166949,44809,27.38,26.01,26.88,2,0.1
000055,方大集团,000055.sz,2015-04-10,强烈控盘,10.56,11.73,11.80,188285,22547,12.17,11.73,11.94,2,0.144
000056,深国商,000056.sz,2015-04-10,强烈控盘,18.8,24.20,24.00,42075,10142,25.40,23.63,23.80,2,0.27
000058,深 赛 格,000058.sz,2015-04-10,强烈控盘,9.61,11.90,11.92,313124,38831,12.98,11.72,12.62,2,0.338
000059,华锦股份,000059.sz,2015-04-10,中度控盘,9.81,10.19,10.20,410095,42733,10.68,10.11,10.45,2,0.07
000060,中金岭南,000060.sz,2015-04-10,强烈控盘,11.92,15.50,15.80,741714,118345,16.35,15.49,16.12,2,0.359
000061,农 产 品,000061.sz,2015-04-10,强烈控盘,13.3,15.49,15.50,192421,29791,15.69,15.25,15.53,2,0.174
000062,深圳华强,000062.sz,2015-03-12,强烈控盘,21.08,0,0,0,0,0,0,0,0,-1
000063,中兴通讯,000063.sz,2015-04-10,强烈控盘,20.71,24.20,24.65,680254,167137,24.78,24.25,24.44,2,0.187
000065,北方国际,000065.sz,2015-04-10,强烈控盘,20.83,24.10,24.20,86194,21396,25.19,24.20,24.72,2,0.195
000066,长城电脑,000066.sz,2015-04-10,强烈控盘,12.48,16.28,16.20,293542,47009,16.37,15.66,16.25,2,0.308
000068,*ST华赛,000068.sz,2015-01-26,轻度控盘,8.94,0,0,0,0,0,0,0,0,-1
000069,华侨城Ａ,000069.sz,2015-04-10,强烈控盘,9.01,10.16,10.20,1092308,111051,10.27,10.04,10.15,2,0.128
000070,特发信息,000070.sz,2014-09-12,强烈控盘,10.35,11.01,12.11,1416,171,12.11,12.11,12.11,2,0.17
000078,海王生物,000078.sz,2015-04-10,强烈控盘,15.06,21.24,22.50,820085,189112,23.36,22.00,23.09,2,0.551
000088,盐 田 港,000088.sz,2015-04-10,强烈控盘,10.18,11.91,11.97,466156,55493,12.17,11.73,11.95,2,0.172
000089,深圳机场,000089.sz,2015-04-10,强烈控盘,6.5,9.36,9.37,281274,26266,9.49,9.22,9.30,2,0.431
000090,天健集团,000090.sz,2015-04-10,强烈控盘,16.3,24.07,24.38,163147,40316,25.62,23.85,24.00,2,0.509
000096,广聚能源,000096.sz,2015-04-10,强烈控盘,8.85,11.17,11.25,138769,15539,11.49,10.96,11.28,2,0.266
000099,中信海直,000099.sz,2015-04-10,强烈控盘,15.59,16.18,16.24,197004,32134,16.50,16.16,16.23,2,0.055
000100,TCL 集团,000100.sz,2015-04-10,强烈控盘,5.5,6.20,6.20,3459454,213600,6.28,6.12,6.23,2,0.122
000150,宜华健康,000150.sz,2015-04-10,强烈控盘,29.05,49.40,48.98,39227,19392,50.48,48.00,49.51,2,0.717
000151,中成股份,000151.sz,2015-04-10,强烈控盘,22.15,26.51,26.10,140503,36530,26.51,25.50,26.07,2,0.172
000153,丰原药业,000153.sz,2015-04-10,强烈控盘,13.53,14.99,14.99,233664,35669,15.65,14.86,15.42,2,0.14
000155,ST川化,000155.sz,2015-04-10,强烈控盘,9.46,10.81,11.00,140358,15546,11.30,10.80,11.03,2,0.177
000156,华数传媒,000156.sz,2015-04-10,强烈控盘,41.71,48.25,48.25,20859,9972,48.70,47.20,47.55,2,0.144
000157,中联重科,000157.sz,2015-04-10,强烈控盘,6.81,7.53,7.55,2172162,164584,7.75,7.48,7.68,2,0.122
000158,常山股份,000158.sz,2015-04-10,强烈控盘,14.02,18.66,18.80,263102,51849,20.24,18.80,19.85,2,0.404
000159,国际实业,000159.sz,2015-04-10,强烈控盘,12.55,14.42,14.45,221672,32298,14.96,14.23,14.43,2,0.16
000301,东方市场,000301.sz,2015-04-10,强烈控盘,6,7.73,7.69,434290,34076,8.10,7.64,7.93,2,0.298
000333,美的集团,000333.sz,2015-04-10,强烈控盘,27.2,33.52,33.70,404871,135930,34.25,32.97,33.10,2,0.232
000338,潍柴动力,000338.sz,2015-04-10,强烈控盘,28.96,32.91,33.10,457020,151922,33.90,32.69,33.79,2,0.148
000400,许继电气,000400.sz,2015-04-10,强烈控盘,28.42,30.47,30.50,291726,90279,31.51,30.50,30.72,2,0.088
000401,冀东水泥,000401.sz,2015-04-10,强烈控盘,13.32,18.30,18.15,316591,60433,19.86,18.02,19.26,2,0.466
000402,金 融 街,000402.sz,2015-04-10,强烈控盘,10.64,13.03,13.16,729325,95304,13.26,12.92,13.01,2,0.23
000404,华意压缩,000404.sz,2015-04-10,强烈控盘,8.57,9.36,9.33,227387,21639,9.66,9.27,9.55,2,0.117
000407,胜利股份,000407.sz,2015-04-10,强烈控盘,7.88,9.01,9.05,265731,23938,9.15,8.89,9.01,2,0.141
000408,金谷源,000408.sz,2015-04-10,强烈控盘,13.03,15.11,15.12,54219,8158,15.36,14.86,15.05,2,0.154
000409,山东地矿,000409.sz,2015-04-10,强烈控盘,14.1,16.30,16.28,96065,15494,16.29,16.00,16.19,2,0.148
000410,沈阳机床,000410.sz,2015-03-02,强烈控盘,16.9,0,0,0,0,0,0,0,0,-1
000411,英特集团,000411.sz,2014-11-27,强烈控盘,17.01,0,0,0,0,0,0,0,0,-1
000413,东旭光电,000413.sz,2015-04-10,强烈控盘,11.87,13.12,13.29,1062657,139445,13.37,12.96,13.10,2,0.107
000415,渤海租赁,000415.sz,2015-01-16,中度控盘,11.95,0,0,0,0,0,0,0,0,-1
000416,民生控股,000416.sz,2015-04-10,强烈控盘,11.11,12.20,12.24,197365,24347,12.60,12.20,12.46,2,0.109
000417,合肥百货,000417.sz,2015-04-10,强烈控盘,9.91,10.98,11.13,304495,34103,11.45,11.00,11.26,2,0.142
000418,小天鹅Ａ,000418.sz,2015-04-10,强烈控盘,15.32,18.75,18.80,52677,9922,18.94,18.64,18.90,2,0.234
000419,通程控股,000419.sz,2015-04-10,强烈控盘,7.94,9.13,9.29,126150,11687,9.39,9.15,9.31,2,0.176
000420,吉林化纤,000420.sz,2015-04-10,强烈控盘,6.28,6.87,6.96,138012,9701,7.11,6.95,6.99,2,0.121
000421,南京中北,000421.sz,2015-04-10,强烈控盘,8.6,10.04,10.04,97748,9958,10.40,9.95,10.26,2,0.2
000422,湖北宜化,000422.sz,2015-04-10,强烈控盘,7.85,8.75,8.78,425770,38536,9.25,8.78,9.03,2,0.163
000423,东阿阿胶,000423.sz,2015-04-10,强烈控盘,41.53,52.45,52.46,176691,92372,53.50,51.51,51.92,2,0.273
000425,徐工机械,000425.sz,2015-04-10,强烈控盘,14.07,14.81,14.80,549864,81728,15.07,14.70,14.97,2,0.061
000426,兴业矿业,000426.sz,2015-04-10,强烈控盘,13.36,14.83,14.85,169146,24757,14.90,14.44,14.65,2,0.098
000428,华天酒店,000428.sz,2015-04-10,强烈控盘,7.75,10.02,10.00,152878,15285,10.20,9.75,10.04,2,0.293
000429,粤高速Ａ,000429.sz,2015-04-07,强烈控盘,5.46,0,0,0,0,0,0,0,0,-1
000430,张家界,000430.sz,2015-04-10,强烈控盘,9.81,11.12,11.16,75513,8614,11.58,11.16,11.45,2,0.165
000488,晨鸣纸业,000488.sz,2015-04-10,强烈控盘,7.46,8.38,8.40,605909,53807,9.14,8.40,8.91,2,0.196
000498,山东路桥,000498.sz,2015-04-10,强烈控盘,7.07,7.27,7.44,284300,21135,7.52,7.31,7.44,2,0.057
000501,鄂武商Ａ,000501.sz,2015-04-10,强烈控盘,16.46,20.70,20.80,70161,14730,21.33,20.70,20.76,2,0.279
000502,绿景控股,000502.sz,2015-02-27,强烈控盘,10.77,0,0,0,0,0,0,0,0,-1
000503,海虹控股,000503.sz,2015-03-20,强烈控盘,34.42,0,0,0,0,0,0,0,0,-1
000505,珠江控股,000505.sz,2015-04-10,强烈控盘,8.99,12.68,12.60,154745,19402,13.28,12.19,12.94,2,0.41
000506,中润资源,000506.sz,2015-03-27,高度控盘,6.43,0,0,0,0,0,0,0,0,-1
000507,珠海港,000507.sz,2015-04-10,强烈控盘,11.15,12.09,12.08,518154,61776,12.20,11.71,11.98,2,0.068
000509,华塑控股,000509.sz,2015-04-10,强烈控盘,6.8,7.68,7.67,418071,33055,8.20,7.61,8.02,2,0.157
000510,*ST金路,000510.sz,2015-01-16,微弱控盘,6.75,0,0,0,0,0,0,0,0,-1
000511,烯碳新材,000511.sz,2015-04-10,强烈控盘,11.4,11.78,11.88,606181,72957,12.24,11.88,12.07,2,0.052
000513,丽珠集团,000513.sz,2015-04-10,强烈控盘,51.25,73.87,76.30,61588,48232,81.26,74.11,79.56,2,0.584
000514,渝 开 发,000514.sz,2015-04-10,强烈控盘,7.86,10.29,10.33,167199,17103,10.36,10.13,10.24,2,0.316
000516,国际医学,000516.sz,2015-04-10,强烈控盘,18.59,24.42,25.53,387956,101825,26.86,25.28,26.26,2,0.423
000517,荣安地产,000517.sz,2015-04-10,强烈控盘,16.5,21.35,20.50,240591,50685,22.14,19.89,20.56,2,0.278
000518,四环生物,000518.sz,2015-03-06,高度控盘,5.88,0,0,0,0,0,0,0,0,-1
000519,江南红箭,000519.sz,2015-04-10,强烈控盘,16.74,17.75,17.82,147648,26898,18.70,17.61,18.25,2,0.104
000521,美菱电器,000521.sz,2015-04-10,强烈控盘,7.02,8.14,8.25,179780,14931,8.49,8.15,8.35,2,0.194
000523,广州浪奇,000523.sz,2015-04-10,强烈控盘,11.71,13.82,13.77,101832,13911,13.89,13.50,13.80,2,0.163
000524,东方宾馆,000524.sz,2015-04-10,强烈控盘,14.09,18.40,18.40,61608,11372,18.85,18.00,18.38,2,0.307
000525,红 太 阳,000525.sz,2015-04-10,强烈控盘,17.41,19.82,20.00,106839,21795,20.72,19.96,20.56,2,0.179
000526,银润投资,000526.sz,2015-02-06,高度控盘,20.32,0,0,0,0,0,0,0,0,-1
000528,柳    工,000528.sz,2015-04-10,强烈控盘,12.43,13.50,13.50,359025,48749,13.86,13.38,13.74,2,0.093
000529,广弘控股,000529.sz,2015-04-10,强烈控盘,10.86,14.41,14.21,156134,23027,15.18,14.16,14.57,2,0.366
000530,大冷股份,000530.sz,2015-04-10,强烈控盘,13.87,15.14,15.21,80140,12404,15.70,15.20,15.56,2,0.12
000531,穗恒运Ａ,000531.sz,2015-04-10,强烈控盘,13.28,16.82,16.82,137829,23233,17.08,16.60,16.85,2,0.273
000532,力合股份,000532.sz,2015-04-10,强烈控盘,18.69,23.46,23.66,58634,13532,23.70,22.66,23.15,2,0.244
000533,万 家 乐,000533.sz,2015-04-10,强烈控盘,6.06,7.29,7.29,177455,13024,7.48,7.21,7.39,2,0.215
000534,万泽股份,000534.sz,2015-04-10,强烈控盘,10.39,14.55,14.76,221960,34748,16.01,14.76,15.90,2,0.533
000536,华映科技,000536.sz,2015-04-10,强烈控盘,20.06,21.03,21.20,149902,31601,21.31,20.80,21.19,2,0.048
000537,广宇发展,000537.sz,2015-04-10,强烈控盘,10.12,11.04,11.10,230145,25541,11.33,10.89,11.19,2,0.095
000538,云南白药,000538.sz,2015-04-10,强烈控盘,59.66,69.15,69.15,143633,100760,71.00,68.85,69.84,2,0.185
000539,粤电力Ａ,000539.sz,2015-04-10,强烈控盘,6.8,8.49,8.51,281053,24297,8.72,8.51,8.67,2,0.275
000540,中天城投,000540.sz,2015-04-10,强烈控盘,10.52,13.85,13.58,1431065,193435,13.88,13.30,13.58,2,0.305
000541,佛山照明,000541.sz,2015-04-10,强烈控盘,13.93,14.91,14.92,240528,36035,15.15,14.71,14.94,2,0.083
000543,皖能电力,000543.sz,2015-04-10,强烈控盘,12.79,15.74,15.74,169944,26764,15.89,15.60,15.70,2,0.232
000544,中原环保,000544.sz,2015-04-10,强烈控盘,16.38,17.68,17.73,86321,15821,18.58,17.73,18.23,2,0.122
000545,金浦钛业,000545.sz,2015-04-10,强烈控盘,14.04,15.97,16.02,194451,32138,16.98,15.97,16.53,2,0.189
000546,金圆股份,000546.sz,2015-04-10,强烈控盘,9.52,10.38,10.48,102452,10905,10.85,10.41,10.71,2,0.14
000547,闽福发Ａ,000547.sz,2015-04-08,强烈控盘,19.19,0,0,0,0,0,0,0,0,-1
000548,湖南投资,000548.sz,2015-04-10,强烈控盘,9.79,11.97,11.84,196048,24165,12.72,11.77,12.18,2,0.246
000550,江铃汽车,000550.sz,2015-04-10,中度控盘,29.27,40.74,40.78,29791,12226,41.64,40.35,41.30,2,0.408
000551,创元科技,000551.sz,2015-04-10,强烈控盘,12.03,13.29,13.30,188217,25605,13.83,13.30,13.63,2,0.135
000552,靖远煤电,000552.sz,2015-04-10,强烈控盘,10.82,11.84,11.81,169049,20330,12.25,11.70,12.07,2,0.119
000553,沙隆达Ａ,000553.sz,2015-04-10,强烈控盘,15.24,15.73,15.80,118907,18888,15.99,15.76,15.86,2,0.042
000554,泰山石油,000554.sz,2015-04-10,强烈控盘,11.42,12.42,12.55,239278,30211,12.89,12.31,12.69,2,0.121
000555,神州信息,000555.sz,2015-04-03,强烈控盘,56.64,0,0,0,0,0,0,0,0,-1
000558,莱茵置业,000558.sz,2015-04-10,强烈控盘,7.06,12.09,11.99,105769,12743,12.40,11.70,12.13,2,0.714
000559,万向钱潮,000559.sz,2015-04-10,强烈控盘,16.05,17.98,17.90,449781,82357,18.63,17.77,18.25,2,0.152
000560,昆百大Ａ,000560.sz,2015-04-10,强烈控盘,21.11,30.72,30.73,31284,10097,33.68,30.73,33.06,2,0.539
000561,烽火电子,000561.sz,2015-04-10,强烈控盘,11.25,14.20,14.20,187579,26517,14.48,13.88,14.02,2,0.252
000562,宏源证券,000562.sz,NA,,NA,0,0,0,0,0,0,0,0,NA
000563,陕国投Ａ,000563.sz,2015-04-10,强烈控盘,14.15,15.74,15.77,262751,41808,16.20,15.70,15.83,2,0.117
000564,西安民生,000564.sz,2014-12-19,中度控盘,5.71,0,0,0,0,0,0,0,0,-1
000565,渝三峡Ａ,000565.sz,2015-04-10,强烈控盘,16.81,19.00,19.00,54270,10614,20.06,18.72,19.64,2,0.183
000566,海南海药,000566.sz,2015-04-10,强烈控盘,24.22,36.63,37.25,209256,78775,39.80,35.88,38.99,2,0.562
000567,海德股份,000567.sz,2015-04-10,强烈控盘,14.2,17.72,17.76,54392,9598,17.99,17.00,17.89,2,0.249
000568,泸州老窖,000568.sz,2015-04-10,强烈控盘,20.86,24.40,24.41,294956,71981,24.90,24.11,24.57,2,0.177
000570,苏常柴Ａ,000570.sz,2015-04-10,强烈控盘,9.75,10.78,10.81,91240,9946,11.00,10.74,10.94,2,0.119
000571,新大洲Ａ,000571.sz,2015-04-10,强烈控盘,6.05,6.89,6.90,241911,16876,7.11,6.86,7.03,2,0.172
000572,海马汽车,000572.sz,2015-04-10,强烈控盘,6.29,7.59,7.87,513370,40325,8.01,7.72,7.78,2,0.246
000573,粤宏远Ａ,000573.sz,2015-04-10,强烈控盘,6.36,7.37,7.37,167273,12294,7.45,7.23,7.31,2,0.164
000576,广东甘化,000576.sz,2015-04-10,强烈控盘,14.23,16.27,16.20,109008,17607,16.48,15.90,16.03,2,0.125
000581,威孚高科,000581.sz,2015-04-10,强烈控盘,31.56,34.33,34.53,191005,66506,35.70,34.24,35.29,2,0.119
000582,北部湾港,000582.sz,2015-04-10,强烈控盘,23.06,24.93,24.89,59325,14554,24.89,23.94,24.63,2,0.069
000584,友利控股,000584.sz,2014-09-19,强烈控盘,6.47,0,0,0,0,0,0,0,0,-1
000585,东北电气,000585.sz,2015-04-10,强烈控盘,5.98,6.37,6.75,753178,50796,6.96,6.60,6.65,2,0.124
000586,汇源通信,000586.sz,2015-04-10,强烈控盘,13.35,15.88,15.87,61835,9872,16.29,15.62,15.91,2,0.188
000587,金叶珠宝,000587.sz,2015-02-02,强烈控盘,11.38,0,0,0,0,0,0,0,0,-1
000589,黔轮胎Ａ,000589.sz,2015-04-10,强烈控盘,7.91,9.41,9.38,239003,22248,9.47,9.16,9.30,2,0.172
000590,紫光古汉,000590.sz,2015-04-10,强烈控盘,17.3,23.91,26.30,12102,3182,26.30,26.30,26.30,2,0.52
000591,桐 君 阁,000591.sz,2014-12-16,轻度控盘,13.08,0,0,0,0,0,0,0,0,-1
000592,平潭发展,000592.sz,2015-04-10,强烈控盘,23.17,26.75,26.96,295970,80281,27.80,26.46,27.47,2,0.186
000593,大通燃气,000593.sz,2015-02-03,轻度控盘,8.09,0,0,0,0,0,0,0,0,-1
000595,西北轴承,000595.sz,2015-04-03,强烈控盘,12.69,0,0,0,0,0,0,0,0,-1
000596,古井贡酒,000596.sz,2015-04-10,高度控盘,32.2,36.96,37.14,95405,35738,38.08,36.70,37.53,2,0.176
000597,东北制药,000597.sz,2015-04-10,强烈控盘,12.64,14.00,14.55,490036,72081,15.40,14.30,15.14,2,0.199
000598,兴蓉投资,000598.sz,2015-04-10,强烈控盘,8.61,9.05,9.11,916718,84176,9.28,9.05,9.20,2,0.071
000599,青岛双星,000599.sz,2015-04-10,强烈控盘,10.91,11.02,11.02,432538,46998,11.03,10.76,10.91,2,-0.005
000600,建投能源,000600.sz,2015-04-10,强烈控盘,10.62,0,0,0,0,0,0,0,0,-1
000601,韶能股份,000601.sz,2015-04-10,强烈控盘,7.33,8.23,8.25,320098,26140,8.31,8.05,8.21,2,0.117
000603,盛达矿业,000603.sz,2015-04-10,强烈控盘,15.58,16.97,17.18,72318,12385,17.35,16.96,17.04,2,0.097
000605,渤海股份,000605.sz,2015-01-12,轻度控盘,16.98,0,0,0,0,0,0,0,0,-1
000606,青海明胶,000606.sz,2015-04-10,强烈控盘,8.89,10.60,10.75,199098,21701,11.10,10.70,10.82,2,0.235
000607,华媒控股,000607.sz,2015-01-16,微弱控盘,10.37,0,0,0,0,0,0,0,0,-1
000608,阳光股份,000608.sz,2015-04-10,强烈控盘,5.4,6.52,6.51,235085,15534,6.70,6.48,6.64,2,0.231
000609,绵世股份,000609.sz,2015-04-10,强烈控盘,17.52,18.63,18.66,182768,35802,20.49,18.65,20.49,2,0.17
000610,西安旅游,000610.sz,2015-04-10,强烈控盘,12.77,13.90,13.98,57761,8023,14.09,13.73,14.01,2,0.087
000611,内蒙发展,000611.sz,2015-01-14,微弱控盘,7.43,0,0,0,0,0,0,0,0,-1
000612,焦作万方,000612.sz,2015-04-10,强烈控盘,11.24,12.41,12.32,252512,31463,12.68,12.25,12.53,2,0.114
000613,大东海A,000613.sz,2015-04-10,强烈控盘,9.04,10.86,10.86,70261,7597,10.98,10.69,10.80,2,0.204
000615,湖北金环,000615.sz,2015-04-10,强烈控盘,13.07,16.42,16.61,124983,20978,17.45,16.21,17.19,2,0.328
000616,海航投资,000616.sz,2014-11-28,高度控盘,4.27,0,0,0,0,0,0,0,0,-1
000617,石油济柴,000617.sz,2015-04-10,强烈控盘,11.36,14.91,14.87,43022,6398,15.19,14.66,14.87,2,0.314
000619,海螺型材,000619.sz,2015-04-10,强烈控盘,10.47,14.21,14.30,131226,19090,15.21,14.23,14.28,2,0.39
000620,新华联,000620.sz,2015-04-09,强烈控盘,8.52,0,0,0,0,0,0,0,0,-1
000622,恒立实业,000622.sz,2015-04-10,强烈控盘,9.59,11.42,11.47,109450,12322,11.50,11.00,11.39,2,0.18
000623,吉林敖东,000623.sz,2015-04-10,强烈控盘,35.1,42.20,42.80,354543,156128,45.05,42.80,43.71,2,0.248
000625,长安汽车,000625.sz,2015-03-06,高度控盘,15.87,0,0,0,0,0,0,0,0,-1
000626,如意集团,000626.sz,2015-03-17,强烈控盘,32.25,0,0,0,0,0,0,0,0,-1
000627,天茂集团,000627.sz,2015-04-10,强烈控盘,10.26,11.13,11.15,799183,91606,11.95,11.01,11.62,2,0.095
000628,高新发展,000628.sz,2015-04-10,强烈控盘,11.66,12.32,12.25,141800,18177,13.17,12.18,12.92,2,0.111
000629,攀钢钒钛,000629.sz,2015-04-10,强烈控盘,3.95,4.54,4.53,1908056,86951,4.66,4.50,4.58,2,0.159
000630,铜陵有色,000630.sz,2015-03-06,中度控盘,14.95,0,0,0,0,0,0,0,0,-1
000631,顺发恒业,000631.sz,2015-04-10,强烈控盘,7.29,10.30,10.62,165342,17439,10.75,10.35,10.48,2,0.464
000632,三木集团,000632.sz,2015-04-10,强烈控盘,7.47,9.45,9.44,242358,23751,10.26,9.21,9.90,2,0.292
000633,合金投资,000633.sz,2015-01-29,轻度控盘,8.02,0,0,0,0,0,0,0,0,-1
000635,英 力 特,000635.sz,2015-04-10,强烈控盘,12.9,14.17,14.20,57315,8334,14.73,14.20,14.60,2,0.127
000636,风华高科,000636.sz,2015-01-30,强烈控盘,8.45,0,0,0,0,0,0,0,0,-1
000637,茂化实华,000637.sz,2015-04-10,强烈控盘,8.24,8.86,8.89,135637,12150,9.09,8.83,8.96,2,0.096
000638,万方发展,000638.sz,2015-04-10,强烈控盘,8.33,11.22,11.22,152930,18394,12.34,11.22,12.34,2,0.481
000639,西王食品,000639.sz,2015-04-10,强烈控盘,21.12,30.64,30.75,41851,13151,32.18,30.75,31.48,2,0.498
000650,仁和药业,000650.sz,2015-04-10,强烈控盘,10.27,12.87,13.08,541979,73080,13.97,12.80,13.52,2,0.332
000651,格力电器,000651.sz,2015-04-10,高度控盘,36.8,44.86,45.14,579617,263921,46.42,44.80,45.00,2,0.245
000652,泰达股份,000652.sz,2015-04-10,强烈控盘,8.42,10.97,10.97,521650,59458,11.92,10.85,11.45,2,0.376
000655,金岭矿业,000655.sz,2015-04-10,强烈控盘,13.32,16.89,16.90,211267,34767,16.90,16.26,16.52,2,0.24
000656,金科股份,000656.sz,2015-04-10,强烈控盘,24.36,33.41,33.51,489389,161646,34.29,31.89,33.43,2,0.404
000657,中钨高新,000657.sz,2015-04-10,强烈控盘,17.86,19.98,19.98,57828,11411,19.99,19.60,19.64,2,0.106
000661,长春高新,000661.sz,2015-04-10,强烈控盘,100.37,117.75,117.85,31234,38236,126.39,117.05,126.10,2,0.237
000662,索芙特,000662.sz,2015-04-10,强烈控盘,11.81,18.52,18.70,141618,27649,20.25,18.70,19.96,2,0.651
000663,永安林业,000663.sz,2014-12-23,微弱控盘,13.74,0,0,0,0,0,0,0,0,-1
000665,湖北广电,000665.sz,2015-04-10,强烈控盘,18.04,19.35,19.51,74851,14469,19.66,18.90,19.26,2,0.081
000666,经纬纺机,000666.sz,2015-04-10,强烈控盘,19.8,21.10,21.15,332988,74389,23.21,21.05,23.19,2,0.088
