code,name,market,main_cost_year,main_cost_month_day,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type,ratio
000001,平安银行,000001.sz,2015,403,13.73,15.85,16.15,1880497,308498,16.73,16.15,16.72,2,0.218
000002,万科Ａ,000002.sz,2015,403,12.57,13.45,13.48,1963071,264599,13.61,13.37,13.60,2,0.082
000004,国农科技,000004.sz,2015,403,21.21,25.86,25.86,18758,4845,26.49,25.45,26.13,2,0.232
000005,世纪星源,000005.sz,2014,1226,4.21,0,0,0,0,0,0,0,0,-1
000006,深振业Ａ,000006.sz,2015,403,7.64,9.03,9.08,596430,54198,9.28,8.98,9.23,2,0.208
000007,零七股份,000007.sz,2015,403,16.51,20.98,20.93,108731,22259,21.00,20.00,20.36,2,0.233
000008,宝利来,000008.sz,2015,311,19.7,0,0,0,0,0,0,0,0,-1
000009,中国宝安,000009.sz,2015,403,15.52,18.18,18.30,357142,66054,18.90,18.11,18.57,2,0.197
000010,深华新,000010.sz,2014,1225,7.78,0,0,0,0,0,0,0,0,-1
000011,深物业A,000011.sz,2015,403,11.2,12.06,12.11,174461,21451,12.85,12.03,12.69,2,0.133
000012,南玻Ａ,000012.sz,2015,318,9.85,0,0,0,0,0,0,0,0,-1
000014,沙河股份,000014.sz,2015,403,16.66,23.27,23.28,46494,11265,25.50,23.28,25.11,2,0.507
000016,深康佳Ａ,000016.sz,2015,403,9.25,11.67,11.70,185793,21590,11.87,11.40,11.58,2,0.252
000017,深中华A,000017.sz,2015,403,9.13,11.11,11.27,80376,8952,11.29,10.97,11.20,2,0.227
000018,中冠A,000018.sz,2015,403,24.3,27.50,27.48,29511,8184,28.45,27.16,28.06,2,0.155
000019,深深宝Ａ,000019.sz,2015,403,9.18,11.80,11.87,58142,7106,12.49,11.87,12.35,2,0.345
000020,深华发Ａ,000020.sz,2015,403,13.04,14.82,14.78,63142,9607,15.77,14.66,15.28,2,0.172
000021,深科技,000021.sz,2015,403,9.59,12.13,12.15,250364,30190,12.23,11.93,12.05,2,0.257
000022,深赤湾Ａ,000022.sz,2015,403,19.59,23.50,23.50,79441,18990,24.25,23.50,24.15,2,0.233
000023,深天地Ａ,000023.sz,2015,403,20.82,27.10,27.04,15622,4217,27.39,26.82,27.15,2,0.304
000024,招商地产,000024.sz,2015,402,28.3,0,0,0,0,0,0,0,0,-1
000025,特力Ａ,000025.sz,2015,403,14.73,20.48,20.70,30592,6152,20.70,19.87,20.05,2,0.361
000026,飞亚达Ａ,000026.sz,2015,403,12.24,15.90,15.91,46718,7419,16.16,15.69,16.10,2,0.315
000027,深圳能源,000027.sz,2015,403,11.76,14.71,14.93,339733,50118,15.08,14.51,14.68,2,0.248
000028,国药一致,000028.sz,2015,403,49.14,63.86,64.50,21307,14226,68.28,64.50,67.40,2,0.372
000029,深深房Ａ,000029.sz,2015,403,7.37,11.02,11.00,197740,21850,11.19,10.86,11.11,2,0.507
000030,富奥股份,000030.sz,2015,403,9.58,11.25,11.25,188859,21731,11.80,11.19,11.59,2,0.21
000031,中粮地产,000031.sz,2015,403,9.15,10.13,10.15,317550,32105,10.21,10.06,10.15,2,0.109
000032,深桑达Ａ,000032.sz,2015,403,13.22,17.10,17.00,37205,6390,17.38,16.86,17.10,2,0.293
000034,深信泰丰,000034.sz,2015,320,7.84,0,0,0,0,0,0,0,0,-1
000035,中国天楹,000035.sz,2015,403,16.27,18.81,18.80,98590,18677,19.71,18.46,19.69,2,0.21
000036,华联控股,000036.sz,2015,403,4.76,5.69,5.70,301678,17194,5.75,5.64,5.73,2,0.204
000037,深南电Ａ,000037.sz,2015,403,8.9,10.78,10.91,232281,26158,11.66,10.91,11.17,2,0.255
