code,name,market,主力控盘日期,控盘程度,main_cost_value
000001,平安银行,000001.sz,2015-09-02,微弱控盘,13.57
000002,万  科Ａ,000002.sz,2015-09-02,轻度控盘,14.12
000004,国农科技,000004.sz,2015-09-02,微弱控盘,33.6
000005,世纪星源,000005.sz,NA,,NA
000006,深振业Ａ,000006.sz,2015-09-02,微弱控盘,12.55
000007,零七股份,000007.sz,NA,,NA
000008,神州高铁,000008.sz,2015-09-02,微弱控盘,24.66
000009,中国宝安,000009.sz,2015-09-02,微弱控盘,14.91
000010,深华新,000010.sz,2015-09-02,微弱控盘,8.68
000011,深物业A,000011.sz,2015-09-02,微弱控盘,12.07
000012,南  玻Ａ,000012.sz,2015-09-02,微弱控盘,12.74
000014,沙河股份,000014.sz,2015-09-02,微弱控盘,21.92
000016,深康佳Ａ,000016.sz,NA,,NA
000017,深中华A,000017.sz,2015-09-02,微弱控盘,13.12
000018,中冠A,000018.sz,2015-09-02,微弱控盘,28.32
000019,深深宝Ａ,000019.sz,2015-09-02,微弱控盘,12.48
000020,深华发Ａ,000020.sz,2015-09-02,微弱控盘,16.97
000021,深科技,000021.sz,2015-09-02,微弱控盘,12
000022,深赤湾Ａ,000022.sz,NA,,NA
000023,深天地Ａ,000023.sz,NA,,NA
000024,招商地产,000024.sz,NA,,NA
000025,特  力Ａ,000025.sz,2015-09-02,轻度控盘,31.83
000026,飞亚达Ａ,000026.sz,2015-09-02,微弱控盘,13.44
000027,深圳能源,000027.sz,2015-09-02,微弱控盘,11.13
000028,国药一致,000028.sz,2015-09-02,微弱控盘,68.9
000029,深深房Ａ,000029.sz,2015-09-02,微弱控盘,11.71
000030,富奥股份,000030.sz,2015-09-02,微弱控盘,11.93
000031,中粮地产,000031.sz,2015-09-02,中度控盘,18.32
000032,深桑达Ａ,000032.sz,2015-09-02,微弱控盘,18.15
000034,深信泰丰,000034.sz,2015-09-02,强烈控盘,8.92
000035,中国天楹,000035.sz,2015-09-02,微弱控盘,16.85
000036,华联控股,000036.sz,2015-09-02,微弱控盘,7.33
000037,深南电Ａ,000037.sz,2015-09-02,微弱控盘,9.83
000038,深大通,000038.sz,2015-09-02,中度控盘,28.45
000039,中集集团,000039.sz,2015-09-02,微弱控盘,23.62
000040,宝安地产,000040.sz,NA,,NA
000042,中洲控股,000042.sz,2015-09-02,微弱控盘,20.22
000043,中航地产,000043.sz,2015-09-02,微弱控盘,11.91
000045,深纺织Ａ,000045.sz,2015-09-02,微弱控盘,12.89
000046,泛海控股,000046.sz,2015-09-02,微弱控盘,13.67
000048,康达尔,000048.sz,2015-09-02,中度控盘,25.34
000049,德赛电池,000049.sz,2015-09-02,微弱控盘,47.63
000050,深天马Ａ,000050.sz,2015-09-02,微弱控盘,20.86
000055,方大集团,000055.sz,2015-09-02,微弱控盘,10.19
000056,深国商,000056.sz,2015-09-02,微弱控盘,23.75
000058,深 赛 格,000058.sz,2015-09-02,微弱控盘,13.29
000059,*ST华锦,000059.sz,2015-09-02,微弱控盘,9.3
000060,中金岭南,000060.sz,2015-09-02,微弱控盘,14.64
000061,农 产 品,000061.sz,2015-09-02,微弱控盘,17.6
000062,深圳华强,000062.sz,2015-09-02,微弱控盘,44.49
000063,中兴通讯,000063.sz,2015-09-02,微弱控盘,19.83
000065,北方国际,000065.sz,2015-09-02,微弱控盘,34.63
000066,长城电脑,000066.sz,NA,,NA
000068,*ST华赛,000068.sz,2015-09-02,轻度控盘,10.74
000069,华侨城Ａ,000069.sz,2015-09-02,微弱控盘,9.29
000070,特发信息,000070.sz,2015-09-02,微弱控盘,22.84
000078,海王生物,000078.sz,2015-09-02,微弱控盘,16.73
000088,盐 田 港,000088.sz,2015-09-02,微弱控盘,10.67
000089,深圳机场,000089.sz,2015-09-02,微弱控盘,8.7
000090,天健集团,000090.sz,2015-09-02,微弱控盘,20.55
000096,广聚能源,000096.sz,2015-09-02,微弱控盘,19.14
000099,中信海直,000099.sz,2015-09-02,微弱控盘,19.02
000100,TCL 集团,000100.sz,2015-09-02,微弱控盘,5.05
000150,宜华健康,000150.sz,NA,,NA
000151,中成股份,000151.sz,2015-09-02,微弱控盘,25.04
000153,丰原药业,000153.sz,2015-09-02,微弱控盘,11.51
000155,*ST川化,000155.sz,2015-09-02,微弱控盘,9.13
000156,华数传媒,000156.sz,2015-09-02,微弱控盘,32.34
000157,中联重科,000157.sz,2015-09-02,微弱控盘,6.93
000158,常山股份,000158.sz,2015-09-02,微弱控盘,16.61
000159,国际实业,000159.sz,2015-09-02,微弱控盘,9.36
000301,东方市场,000301.sz,2015-09-02,微弱控盘,6.56
000333,美的集团,000333.sz,2015-09-02,微弱控盘,32.37
000338,潍柴动力,000338.sz,2015-09-02,微弱控盘,11.51
000400,许继电气,000400.sz,2015-09-02,微弱控盘,21.35
000401,冀东水泥,000401.sz,2015-09-02,微弱控盘,12.96
000402,金 融 街,000402.sz,2015-09-02,微弱控盘,11.04
000404,华意压缩,000404.sz,2015-09-02,微弱控盘,7.79
000407,胜利股份,000407.sz,2015-09-02,微弱控盘,7.6
000408,金谷源,000408.sz,2015-09-02,微弱控盘,17.08
000409,山东地矿,000409.sz,2015-09-02,微弱控盘,9.1
000410,沈阳机床,000410.sz,2015-09-02,微弱控盘,23.04
000411,英特集团,000411.sz,2015-09-02,微弱控盘,21.81
000413,东旭光电,000413.sz,2015-09-02,微弱控盘,9.22
000415,渤海租赁,000415.sz,2015-09-02,微弱控盘,9.1
000416,民生控股,000416.sz,2015-09-02,高度控盘,13.91
000417,合肥百货,000417.sz,2015-09-02,微弱控盘,10.18
000418,小天鹅Ａ,000418.sz,2015-09-02,轻度控盘,21.5
000419,通程控股,000419.sz,2015-09-02,微弱控盘,9.06
000420,吉林化纤,000420.sz,2015-09-02,微弱控盘,7.24
000421,南京中北,000421.sz,2015-09-02,微弱控盘,10.64
000422,湖北宜化,000422.sz,2015-09-02,微弱控盘,8.06
000423,东阿阿胶,000423.sz,2015-09-02,微弱控盘,47.83
000425,徐工机械,000425.sz,2015-09-02,微弱控盘,12.41
000426,兴业矿业,000426.sz,NA,,NA
000428,华天酒店,000428.sz,2015-09-02,微弱控盘,8.61
000429,粤高速Ａ,000429.sz,2015-09-02,微弱控盘,6.51
000430,张家界,000430.sz,2015-09-02,微弱控盘,11.19
000488,晨鸣纸业,000488.sz,2015-09-02,微弱控盘,8.28
000498,山东路桥,000498.sz,2015-09-02,微弱控盘,7.58
000501,鄂武商Ａ,000501.sz,2015-09-02,微弱控盘,19.48
000502,绿景控股,000502.sz,2015-09-02,强烈控盘,10.84
000503,海虹控股,000503.sz,2015-09-02,微弱控盘,33.84
000505,珠江控股,000505.sz,2015-09-02,微弱控盘,11.14
000506,中润资源,000506.sz,2015-09-02,微弱控盘,10.45
000507,珠海港,000507.sz,2015-09-02,微弱控盘,8.01
000509,华塑控股,000509.sz,2015-09-02,微弱控盘,6.61
000510,*ST金路,000510.sz,2015-09-02,强烈控盘,9.52
000511,烯碳新材,000511.sz,NA,,NA
000513,丽珠集团,000513.sz,NA,,NA
000514,渝 开 发,000514.sz,2015-09-02,微弱控盘,9.2
000516,国际医学,000516.sz,2015-09-02,微弱控盘,20.14
000517,荣安地产,000517.sz,2015-09-02,微弱控盘,18.01
000518,四环生物,000518.sz,2015-09-02,微弱控盘,6.21
000519,江南红箭,000519.sz,NA,,NA
000521,美菱电器,000521.sz,2015-09-02,微弱控盘,7.53
000523,广州浪奇,000523.sz,2015-09-02,微弱控盘,14.9
000524,岭南控股,000524.sz,2015-09-02,微弱控盘,18.69
000525,红 太 阳,000525.sz,2015-09-02,微弱控盘,18.39
000526,银润投资,000526.sz,2015-09-02,中度控盘,35.49
000528,柳    工,000528.sz,2015-09-02,微弱控盘,10.61
000529,广弘控股,000529.sz,NA,,NA
000530,大冷股份,000530.sz,2015-09-02,微弱控盘,14.89
000531,穗恒运Ａ,000531.sz,2015-09-02,微弱控盘,11.91
000532,力合股份,000532.sz,2015-09-02,微弱控盘,19.06
000533,万 家 乐,000533.sz,2015-09-02,微弱控盘,8.86
000534,万泽股份,000534.sz,NA,,NA
000536,华映科技,000536.sz,2015-09-02,微弱控盘,13.49
000537,广宇发展,000537.sz,2015-09-02,微弱控盘,8.86
000538,云南白药,000538.sz,2015-09-02,轻度控盘,70.56
000539,粤电力Ａ,000539.sz,2015-09-02,微弱控盘,8.14
000540,中天城投,000540.sz,NA,,NA
000541,佛山照明,000541.sz,NA,,NA
000543,皖能电力,000543.sz,2015-09-02,微弱控盘,15.48
000544,中原环保,000544.sz,2015-09-02,微弱控盘,17.48
000545,金浦钛业,000545.sz,NA,,NA
000546,金圆股份,000546.sz,2015-09-02,微弱控盘,9.46
000547,航天发展,000547.sz,2015-09-02,微弱控盘,23.4
000548,湖南投资,000548.sz,2015-09-02,微弱控盘,11.26
000550,江铃汽车,000550.sz,2015-09-02,微弱控盘,33.46
000551,创元科技,000551.sz,2015-09-02,微弱控盘,10.55
000552,靖远煤电,000552.sz,2015-09-02,微弱控盘,10.41
000553,沙隆达Ａ,000553.sz,NA,,NA
000554,泰山石油,000554.sz,2015-09-02,微弱控盘,10.85
