"code" "name" "control_date" "main_cost_value"
"600028" "中国石化" "2015-11-02" "6.59"
"600036" "招商银行" "2015-11-02" "16.89"
"601398" "工商银行" "2015-11-02" "4.23"
"601857" "中国石油" "2015-11-02" "10.64"
"601988" "中国银行" "2015-11-02" "4.15"
"002505" "大康牧业" "2015-11-03" "6.32"
"600028" "中国石化" "2015-11-03" "6.59"
"600036" "招商银行" "2015-11-03" "16.89"
"601398" "工商银行" "2015-11-03" "4.23"
"601857" "中国石油" "2015-11-03" "10.64"
"601988" "中国银行" "2015-11-03" "4.15"
"002505" "大康牧业" "2015-11-04" "6.39"
"600028" "中国石化" "2015-11-04" "6.59"
"600036" "招商银行" "2015-11-04" "16.9"
"601398" "工商银行" "2015-11-04" "4.23"
"601857" "中国石油" "2015-11-04" "10.63"
"601988" "中国银行" "2015-11-04" "4.15"
"002505" "大康牧业" "2015-11-05" "6.43"
"600028" "中国石化" "2015-11-05" "6.58"
"600036" "招商银行" "2015-11-05" "16.91"
"601398" "工商银行" "2015-11-05" "4.23"
"601857" "中国石油" "2015-11-05" "10.63"
"601988" "中国银行" "2015-11-05" "4.15"
"002505" "大康牧业" "2015-11-06" "6.49"
"600028" "中国石化" "2015-11-06" "6.57"
"600036" "招商银行" "2015-11-06" "16.92"
"601398" "工商银行" "2015-11-06" "4.23"
"601857" "中国石油" "2015-11-06" "10.63"
"601988" "中国银行" "2015-11-06" "4.15"
"002505" "大康牧业" "2015-11-09" "6.55"
"600028" "中国石化" "2015-11-09" "6.57"
"600036" "招商银行" "2015-11-09" "16.94"
"601398" "工商银行" "2015-11-09" "4.23"
"601857" "中国石油" "2015-11-09" "10.63"
"601988" "中国银行" "2015-11-09" "4.15"
"002505" "大康牧业" "2015-11-10" "6.58"
"600028" "中国石化" "2015-11-10" "6.56"
"600036" "招商银行" "2015-11-10" "16.95"
"601398" "工商银行" "2015-11-10" "4.24"
"601857" "中国石油" "2015-11-10" "10.63"
"601988" "中国银行" "2015-11-10" "4.15"
"002505" "大康牧业" "2015-11-11" "6.58"
"600028" "中国石化" "2015-11-11" "6.56"
"600036" "招商银行" "2015-11-11" "16.97"
"601398" "工商银行" "2015-11-11" "4.24"
"601857" "中国石油" "2015-11-11" "10.63"
"601988" "中国银行" "2015-11-11" "4.15"
"002505" "大康牧业" "2015-11-12" "6.62"
"600028" "中国石化" "2015-11-12" "6.56"
"600036" "招商银行" "2015-11-12" "16.98"
"601398" "工商银行" "2015-11-12" "4.24"
"601857" "中国石油" "2015-11-12" "10.63"
"601988" "中国银行" "2015-11-12" "4.15"
"002505" "大康牧业" "2015-11-13" "6.63"
"600028" "中国石化" "2015-11-13" "6.56"
"600036" "招商银行" "2015-11-13" "16.98"
"601398" "工商银行" "2015-11-13" "4.24"
"601857" "中国石油" "2015-11-13" "10.63"
"601988" "中国银行" "2015-11-13" "4.15"
"002505" "大康牧业" "2015-11-16" "6.63"
"600028" "中国石化" "2015-11-16" "6.55"
"600036" "招商银行" "2015-11-16" "16.98"
"601398" "工商银行" "2015-11-16" "4.24"
"601857" "中国石油" "2015-11-16" "10.63"
